Primary_Key,URL
10191,"http://bit.ly/2k9vqYx, http://bit.ly/2AdF1Vp"
10192,http://bit.ly/2kJPr5I
10193,"http://bit.ly/2kZ0JAl, http://bit.ly/2kkpHuW, http://bit.ly/2kvxbx9, http://bit.ly/2kyfgUV"
10194,http://bit.ly/2kpLt2R
10195,http://bit.ly/2krs4jj
10196,http://bit.ly/2kszkvt
10197,http://bit.ly/2lRcWvh
10198,http://bit.ly/2lWoT0E
10199,"http://bit.ly/2lchvMh, https://bit.ly/2Ky2ySl"
10200,http://bit.ly/2leDSRH
10201,http://bit.ly/2ms8OSW
10202,"http://bit.ly/2n0nhm1, http://bit.ly/2mwd9DR"
10203,http://bit.ly/2nPqzLI
10204,http://bit.ly/2nSeGoo
10205,http://bit.ly/2o7uCCM
10206,http://bit.ly/2oATVM8
10207,"http://bit.ly/2oBHalk, http://bit.ly/2Ck9ZvB, http://bit.ly/2sUaIQl, http://bit.ly/2CtdMXE"
10208,http://bit.ly/2oC3e0q
10209,"http://bit.ly/2oVr1K9, http://bit.ly/2oWQ6Vk, http://bit.ly/2q1FpAO"
10210,http://bit.ly/2oZhnoG
10211,http://bit.ly/2opth88
10212,http://bit.ly/2or86Ef
10213,"http://bit.ly/2osHDIW, https://www.facebook.com/NoticiasTelered/posts/1512755708757335"
10214,http://bit.ly/2pRDWsd
10215,http://bit.ly/2pW3vZS
10216,http://bit.ly/2pWh9M8
10217,"http://bit.ly/2q6dMTp, http://bit.ly/2q9qIb4"
10218,http://bit.ly/2r1hFZD
10219,http://bit.ly/2rDm9dL
10220,http://bit.ly/2rHcTWm
10221,http://bit.ly/2rJiSWx
10222,http://bit.ly/2rMHf4Q
10223,http://bit.ly/2rTw6DD
10224,http://bit.ly/2s7TWuw
10225,"http://bit.ly/2sDm7QP, http://bit.ly/2rXwYTM, http://lat.ms/2twJuvB"
10226,"http://bit.ly/2sGkXX4, http://bit.ly/2srjfpX, http://bit.ly/2sAdx5h"
10227,"http://bit.ly/2scVCkD, https://bit.ly/2ngTw1W"
10228,http://bit.ly/2slfEJw
10229,http://bit.ly/2slt8Vz
10230,"http://bit.ly/2sqrBgg, http://bit.ly/2rrGW1b"
10231,http://bit.ly/2sw6OZf
10232,http://bit.ly/2swuXPx
10233,http://bit.ly/2t4XXm6
10234,"http://bit.ly/2tAxiN4, http://bit.ly/2vjsybR"
10235,http://bit.ly/2tEfaD1
10236,"http://bit.ly/2tFRA8w, http://bit.ly/2vZqs18"
10237,http://bit.ly/2tIXIsI
10238,"http://bit.ly/2tJgxAB, http://bit.ly/2FJHup6"
10239,"http://bit.ly/2tR4ZXj, http://bit.ly/2rFqTfn"
10240,"http://bit.ly/2tSS1b5, http://bit.ly/2tD3uQQ"
10241,"http://bit.ly/2tdV9yB, http://bit.ly/2uEArME"
10242,http://bit.ly/2tlgCGE
