Primary_Key,Port_Code,Date,Measure_Code,Value
1000540,2505,2019-01-01,13,66009
1000541,2310,2019-01-01,20,652
1000542,2406,2019-01-01,14,62338
1000543,2310,2019-01-01,21,189
1000544,2302,2019-01-01,15,132441
1000545,2506,2019-01-01,16,210
1000546,2506,2019-01-01,22,76763
1000547,2606,2019-01-01,15,2216
1000548,2608,2019-01-01,11,9
1000549,2505,2019-01-01,20,2123
1000550,2604,2019-01-01,18,213
1000551,2502,2019-01-01,13,107916
1000552,2506,2019-01-01,13,284683
1000553,2406,2019-01-01,12,120
1000554,2608,2019-01-01,20,713
1000555,2601,2019-01-01,15,132376
1000556,2507,2019-01-01,12,208
1000557,2307,2019-01-01,15,35776
1000558,2608,2019-01-01,13,238813
1000559,2302,2019-01-01,13,16510
1000560,2507,2019-01-01,21,18492
1000561,2305,2019-01-01,21,42645
1000562,2601,2019-01-01,14,236767
1000563,2402,2019-01-01,12,1361
1000564,2304,2019-01-01,20,54688
1000565,2403,2019-01-01,11,194
1000566,2408,2019-01-01,12,19
1000567,2304,2019-01-01,13,286121
1000568,2304,2019-01-01,14,983776
1000569,2305,2019-01-01,13,166078
1000570,2603,2019-01-01,20,120
1000571,2507,2019-01-01,20,15471
1000572,2304,2019-01-01,12,3352
1000573,2301,2019-01-01,12,537
1000574,2301,2019-01-01,17,574
1000575,2507,2019-01-01,22,33715
1000576,2303,2019-01-01,11,7906
1000577,2507,2019-01-01,14,473461
1000578,2403,2019-01-01,22,823
1000579,2402,2019-01-01,13,582606
1000580,2601,2018-12-01,12,210
1000581,2403,2018-12-01,11,238
1000582,2301,2018-12-01,21,9871
1000583,2406,2018-12-01,13,24168
1000584,2602,2018-12-01,14,56937
1000585,2403,2018-12-01,12,139
1000586,2304,2018-12-01,16,17238
1000587,2601,2018-12-01,11,2360
1000588,2604,2018-12-01,15,307889
1000589,2408,2018-12-01,21,6785
1000590,2502,2018-12-01,13,83491
1000591,2604,2018-12-01,21,23934
1000592,2406,2018-12-01,11,1440
1000593,2302,2018-12-01,20,1388
1000594,2602,2018-12-01,22,20
1000595,2505,2018-12-01,22,4292
1000596,2402,2018-12-01,12,1505
1000597,2507,2018-12-01,13,44459
1000598,2603,2018-12-01,13,14003
1000599,2309,2018-12-01,15,121072
1000600,2506,2018-12-01,11,2423
1000601,2301,2018-12-01,16,6438
1000602,2301,2018-12-01,22,18678
1000603,2301,2018-12-01,13,268993
1000604,2304,2018-12-01,12,3612
1000605,2301,2018-12-01,14,910576
1000606,2602,2018-12-01,12,60
1000607,2303,2018-12-01,13,2014
1000608,2408,2018-12-01,15,55125
1000609,2303,2018-12-01,12,249
1000610,2602,2018-12-01,13,5588
1000611,2406,2018-12-01,21,1623
1000612,2402,2018-12-01,15,969171
1000613,2504,2018-12-01,12,2995
1000614,2302,2018-12-01,21,3974
1000615,2301,2018-12-01,11,4428
1000616,2301,2018-12-01,19,67
1000617,2403,2018-12-01,22,917
1000618,2507,2018-12-01,12,193
1000619,2303,2018-12-01,20,2340
1000620,2304,2018-12-01,21,120063
1000621,2305,2018-12-01,20,14312
1000622,2310,2018-12-01,14,141756
1000623,2507,2018-12-01,16,648
1000624,2309,2018-12-01,22,3594
1000625,2507,2018-12-01,14,488609
1000626,2402,2018-12-01,17,3542
1000627,2408,2018-12-01,20,1335
1000628,2604,2018-12-01,13,295702
1000629,2305,2018-12-01,12,1836
1000630,2404,2018-12-01,14,79295
1000631,2305,2018-12-01,14,902243
1000632,2507,2018-12-01,18,20
1000633,2406,2018-12-01,22,1663
1000634,2305,2018-12-01,11,23155
1000635,2606,2018-12-01,13,47
1000636,2504,2018-12-01,14,1969155
1000637,2403,2018-12-01,13,34385
1000638,2507,2018-12-01,11,7720
1000639,2304,2018-12-01,19,363
1000640,2408,2018-12-01,14,130737
1000641,2305,2018-12-01,21,33988
1000642,2603,2018-12-01,22,184
1000643,2505,2018-12-01,21,1372
1000644,2310,2018-12-01,12,55
1000645,2309,2018-12-01,20,2766
1000646,2506,2018-12-01,16,189
1000647,2604,2018-12-01,11,14447
1000648,2303,2018-12-01,11,3442
1000649,2502,2018-12-01,15,48244
1000650,2604,2018-12-01,20,5176
1000651,2507,2018-12-01,19,20
1000652,2504,2018-12-01,13,926266
1000653,2402,2018-12-01,22,58707
1000654,2402,2018-12-01,11,18880
1000655,2602,2018-12-01,21,20
1000656,2307,2018-12-01,22,2793
1000657,2310,2018-12-01,21,108
1000658,2604,2018-12-01,19,61
1000659,2503,2018-12-01,15,407806
1000660,2302,2018-12-01,22,5360
1000661,2606,2018-12-01,14,4599
1000662,2402,2018-12-01,21,43613
1000663,2608,2018-12-01,14,459720
1000664,2506,2018-12-01,22,69625
1000665,2608,2018-12-01,13,253557
1000666,2402,2018-12-01,18,635
1000667,2402,2018-12-01,14,1826374
1000668,2507,2018-12-01,20,16235
1000669,2601,2018-12-01,15,137719
1000670,2309,2018-12-01,13,100399
1000671,2304,2018-12-01,17,20423
1000672,2303,2018-12-01,16,17767
1000673,2608,2018-12-01,20,706
1000674,2305,2018-12-01,15,409983
1000675,2403,2018-12-01,14,133930
1000676,2403,2018-12-01,15,61806
1000677,2408,2018-12-01,12,23
1000678,2506,2018-12-01,18,32
1000679,2506,2018-12-01,20,20449
1000680,2506,2018-12-01,21,45618
1000681,2408,2018-12-01,13,18682
1000682,2608,2018-12-01,15,254984
1000683,2505,2018-12-01,13,82348
1000684,2404,2018-12-01,15,39393
1000685,2506,2018-12-01,13,305381
1000686,2302,2018-12-01,15,134185
1000687,2303,2018-12-01,22,12970
1000688,2408,2018-12-01,22,8109
1000689,2507,2018-12-01,22,29704
1000690,2302,2018-12-01,14,269554
1000691,2604,2018-12-01,14,647539
1000692,2310,2018-12-01,22,725
1000693,2305,2018-12-01,22,48154
1000694,2304,2018-12-01,15,462768
1000695,2403,2018-12-01,20,175
1000696,2403,2018-12-01,21,744
1000697,2601,2018-12-01,13,85434
1000698,2402,2018-12-01,20,15161
1000699,2309,2018-12-01,14,275078
1000700,2507,2018-12-01,15,267828
1000701,2307,2018-12-01,20,1485
1000702,2608,2018-12-01,21,1694
1000703,2406,2018-12-01,15,29147
1000704,2506,2018-12-01,14,1011822
1000705,2303,2018-12-01,21,10642
1000706,2601,2018-12-01,22,2111
1000707,2503,2018-12-01,13,360911
1000708,2606,2018-12-01,15,2266
1000709,2303,2018-12-01,19,316
1000710,2309,2018-12-01,21,1001
1000711,2604,2018-12-01,22,28352
1000712,2505,2018-12-01,20,5083
1000713,2603,2018-12-01,20,89
1000714,2504,2018-12-01,11,5120
1000715,2507,2018-12-01,17,25
1000716,2604,2018-12-01,17,2487
1000717,2406,2018-12-01,20,39
1000718,2604,2018-12-01,16,3460
1000719,2603,2018-12-01,15,30127
1000720,2506,2018-12-01,12,2089
1000721,2307,2018-12-01,14,85839
1000722,2305,2018-12-01,13,191863
1000723,2603,2018-12-01,14,54902
1000724,2301,2018-12-01,12,537
1000725,2404,2018-12-01,13,3558
1000726,2310,2018-12-01,20,619
1000727,2608,2018-12-01,22,2378
1000728,2406,2018-12-01,14,69026
1000729,2307,2018-12-01,15,42053
1000730,2402,2018-12-01,13,711213
1000731,2604,2018-12-01,18,183
1000732,2307,2018-12-01,13,6480
1000733,2301,2018-12-01,17,722
1000734,2303,2018-12-01,14,555481
1000735,2310,2018-12-01,15,68166
1000736,2601,2018-12-01,21,1560
1000737,2303,2018-12-01,15,254868
1000738,2603,2018-12-01,21,95
1000739,2608,2018-12-01,11,12
1000740,2502,2018-12-01,14,94775
1000741,2506,2018-12-01,19,16
1000742,2410,2018-12-01,13,910
