Web ID,rlat,rlng
40574,32.123971,-110.871356
40575,32.192563,-110.961395
40581,32.01571,-112.95846
40582,32.25892,-113.08173
40583,32.12359,-111.28911
40614,31.7126,-111.75883
40615,31.352167,-110.89
40616,32.027833,-112.469667
40618,31.99746,-111.82281
40619,32.23965,-111.45786
40620,32.0634,-112.5644
40621,32.6004,-111.738267
40622,32.106083,-111.5684
40623,32.924722,-111.907778
40624,32.174,-113.24667
40625,32.174,-113.24667
40626,32.174,-113.24667
40627,32.12775,-112.13793
40628,31.81318,-111.85296
40629,32.143167,-112.98095
40630,32.347166,-113.116666
40631,31.74916,-112.15516
40632,32.258783,-112.9721
40635,31.9325,-110.462667
40636,31.36045,-109.053383
40640,32.33752,-112.38222
40641,31.975633,-112.137383
40642,31.40105,-110.73266
40643,31.34122,-110.90572
40644,31.34265,-110.266267
40681,32.0013,-112.122299
40878,31.82578,-112.151317
40881,32.00965,-112.58101
40882,31.501317,-111.45325
40884,31.947183,-111.695567
40885,32.425,-111.6568
40886,31.776983,-111.879567
40888,32.00882,-113.02657
40889,32.16755,-113.00183
40890,31.9336,-112.136067
40891,31.933033,-112.135833
40892,32.069633,-112.996983
40896,32.38205,-112.00476
40897,31.93395,-112.022917
40899,31.80132,-110.95279
40900,31.5815,-111.77556
40902,31.85521,-112.17821
40903,31.81461,-111.85829
40904,31.849017,-112.64445
40905,32.8216,-112.41698
40908,31.859417,-112.709806
40910,31.9201,-111.309167
40911,32.622703,-111.861717
40912,31.656983,-111.952283
40914,31.8576,-112.7048
40915,32.06,-112.44
40916,31.820278,-111.064111
40918,31.4,-109.136767
40919,32.364767,-112.489183
40920,31.976781,-109.486791
40921,31.6337,-112.01128
40922,31.62835,-111.75955
40923,31.59772,-111.89503
40926,31.76437,-111.61075
40927,32.172,-112.9105
40928,32.05262,-112.47898
40929,32.10445,-112.881117
40930,32.187417,-112.812867
40931,31.9741,-112.88585
40935,32.2658,-113.0729
40936,31.630183,-111.992767
40937,32.065733,-111.600967
40938,31.845495,-110.61481
40939,31.899057,-110.250004
40942,31.5692,-111.774733
40944,32.13628,-113.21833
40947,32.30612,-111.40797
40948,32.22039,-113.2139
40949,31.7989,-111.81445
40950,32.27515,-112.97308
40951,31.87648,-112.13971
40952,32.083833,-112.963333
40955,32.11476,-112.11556
40957,31.838633,-111.9506
40958,31.704274,-111.044576
40961,32.08267,-111.17659
40962,32.3609,-113.123
40964,31.54855,-111.73635
40968,31.715333,-111.949783
40969,32.328533,-113.261717
40970,31.92171,-112.90196
40971,31.92171,-112.90196
40972,32.0523,-113.00292
40973,32.33183,-113.10583
40974,32.33203,-113.10583
40976,32.323583,-113.10095
40977,31.63683,-111.96318
40980,31.52895,-109.09437
40981,32.20948,-111.48673
40982,32.30317,-113.09
40984,31.72451,-111.96446
40985,31.86743,-112.74258
40986,32.04636,-113.0097
40987,32.82177,-112.04187
41007,32.15423,-112.33682
41008,32.819135,-111.963106
41009,32.1796,-113.07685
41010,32.334317,-113.102
41011,31.40025,-110.95995
41012,31.70077,-111.14907
41014,31.589933,-111.362767
41015,31.64675,-111.15327
41016,32.596,-111.70938
41017,32.216783,-113.147133
41018,32.13884,-112.99014
41019,32.26505,-113.16132
41020,31.511,-111.561833
41021,32.03748,-112.70003
