port_year_concat,port_code,port_name,port_state,port_lat,port_lng,year_reported,fatalities,missing,casualties,survivors,female_casualties,male_casualties,child_casualties,pedestrian_x,passenger_x_bus,passenger_x_train,passenger_x_personal_vehicle,passenger_x_any,pedestrian_and_passenger_x,personal_vehicles,buses,trains,trucks,rail_containers_full,rail_containers_empty,truck_containers_full,truck_containers_empty
2403|2014,2403,Presidio,Texas,29.56056,-104.37167,2014,,,,,,,,77759,10160,0,1272075,1282235,1359994,616002,553,0,10584,0,0,4472,6148
2403|2015,2403,Presidio,Texas,29.56056,-104.37167,2015,1,0,1,,,1,,83624,10451,0,1363370,1373821,1457445,664282,626,0,8827,0,0,3627,5200
2403|2016,2403,Presidio,Texas,29.56056,-104.37167,2016,1,0,1,,,1,,71160,6163,0,1403327,1409490,1480650,671492,538,0,7561,0,0,3498,4459
2403|2017,2403,Presidio,Texas,29.56056,-104.37167,2017,2,0,2,,1,1,1,94944,5727,,1447041,1452768,1547712,689676,663,,8697,,,4186,4525
2403|2018,2403,Presidio,Texas,29.56056,-104.37167,2018,8,0,8,,1,7,1,252011,2071,,1504059,1506130,1758141,718792,1246,,8829,,,5628,3210
2404|2014,2404,Tornillo-Fabens,Texas,31.50222,-106.15806,2014,3,0,3,0,,,,56644,0,0,593446,593446,650090,285918,0,0,0,0,0,0,0
2404|2015,2404,Tornillo-Fabens,Texas,31.50222,-106.15806,2015,,,,,,,,33225,0,0,558927,558927,592152,270156,0,0,0,0,0,0,0
2404|2016,2404,Tornillo-Fabens,Texas,31.50222,-106.15806,2016,1,0,1,,,1,,31957,0,0,654652,654652,686609,313390,0,0,173,0,0,0,0
2404|2017,2404,Tornillo-Fabens,Texas,31.50222,-106.15806,2017,,,,,,,,34636,,,662760,662760,697396,327202,,,104,,,1,103
2404|2018,2404,Tornillo-Fabens,Texas,31.50222,-106.15806,2018,4,0,4,,,4,,37948,,,737773,737773,775721,375638,,,,,,,
2406|2014,2406,Columbus,New Mexico,31.8275,-107.63944,2014,2,0,2,0,,1,,267792,17297,0,617090,634387,902179,357691,1495,0,13923,0,0,12573,1112
2406|2015,2406,Columbus,New Mexico,31.8275,-107.63944,2015,,,,,,,,303952,14576,0,684703,699279,1003231,411192,1206,0,14233,0,0,13038,1214
2406|2016,2406,Columbus,New Mexico,31.8275,-107.63944,2016,,,,,,,,277765,17512,0,723860,741372,1019137,427576,1459,0,14796,0,0,13367,1597
2406|2017,2406,Columbus,New Mexico,31.8275,-107.63944,2017,2,0,2,1,,,,257998,16955,,746789,763744,1021742,380308,1377,,14114,,,13249,1472
2406|2018,2406,Columbus,New Mexico,31.8275,-107.63944,2018,,,,,,,,278133,17090,,757426,774516,1052649,351723,1261,,14502,,,15684,1308
2408|2014,2408,Santa Teresa,New Mexico,31.850000000000005,-106.67903000000001,2014,,,,,,,,175112,1760,0,1095123,1096883,1271995,463799,129,0,87597,0,0,55156,30776
2408|2015,2408,Santa Teresa,New Mexico,31.850000000000005,-106.67903000000001,2015,1,0,1,,,1,,160560,1521,0,1199963,1201484,1362044,527411,118,0,102315,0,0,60068,39070
2408|2016,2408,Santa Teresa,New Mexico,31.850000000000005,-106.67903000000001,2016,,,,,,,,159687,1203,0,1370480,1371683,1531370,623615,99,0,113889,0,0,66824,47596
2408|2017,2408,Santa Teresa,New Mexico,31.850000000000005,-106.67903000000001,2017,,,,,,,,134458,2710,,1358085,1360795,1495253,614398,269,,114876,,,79456,56023
2408|2018,2408,Santa Teresa,New Mexico,31.850000000000005,-106.67903000000001,2018,,,,,,,,145702,2270,,1175504,1177774,1323476,528894,232,,114988,,,84972,31100
2410|2015,2410,Boquillas,Texas,29.190000000000005,-102.95,2015,1,0,1,,,1,,7007,0,0,0,0,7007,0,0,0,0,0,0,0,0
2410|2016,2410,Boquillas,Texas,29.190000000000005,-102.95,2016,13,1,13,,1,11,3,14099,0,0,0,0,14099,0,0,0,0,0,0,0,0
2410|2017,2410,Boquillas,Texas,29.190000000000005,-102.95,2017,1,0,1,14,,1,,10965,,,,0,10965,,,,,,,,
2410|2018,2410,Boquillas,Texas,29.190000000000005,-102.95,2018,3,0,3,,1,2,,11499,,,,0,11499,,,,,,,,
2502|2014,2502,Andrade,California,32.7394,-114.63401999999999,2014,,,,,,,,800176,0,0,911988,911988,1712164,453079,0,0,0,0,0,0,0
2502|2015,2502,Andrade,California,32.7394,-114.63401999999999,2015,1,0,1,,,1,,817866,0,0,1036699,1036699,1854565,523059,0,0,0,0,0,0,0
2502|2016,2502,Andrade,California,32.7394,-114.63401999999999,2016,2,0,2,4,,,,833296,0,0,1080857,1080857,1914153,506230,0,0,0,0,0,0,0
2502|2017,2502,Andrade,California,32.7394,-114.63401999999999,2017,,,,,,,,831433,,,1177023,1177023,2008456,591692,,,,,,,
2502|2018,2502,Andrade,California,32.7394,-114.63401999999999,2018,1,0,1,,,1,,901699,,,1118965,1118965,2020664,575493,,,,,,,
2503|2014,2503,Calexico,California,32.67889,-115.49806,2014,,,,,,,,4567333,0,0,7221528,7221528,11788861,4071666,0,0,0,0,0,0,0
2503|2015,2503,Calexico,California,32.67889,-115.49806,2015,7,0,7,,1,6,,4498322,0,0,7644148,7644148,12142470,4294156,0,0,0,0,0,0,0
2503|2016,2503,Calexico,California,32.67889,-115.49806,2016,2,0,2,,,2,,4270911,0,0,7851664,7851664,12122575,4327034,0,0,0,0,0,0,0
2503|2017,2503,Calexico,California,32.67889,-115.49806,2017,5,0,5,,,5,,4212342,,,7860166,7860166,12072508,4409648,,,,,,,
2503|2018,2503,Calexico,California,32.67889,-115.49806,2018,14,0,14,3,,12,,4014519,,,8399017,8399017,12413536,4557881,,,,,,,
2504|2014,2504,San Ysidro,California,32.54306,-117.02666999999998,2014,,,,,,,,7925371,491058,0,21116089,21607147,29532518,11946060,57171,0,0,0,0,0,0
2504|2015,2504,San Ysidro,California,32.54306,-117.02666999999998,2015,,,,,,,,7056022,440033,0,25646073,26086106,33142128,14435252,51693,0,0,0,0,0,0
2504|2016,2504,San Ysidro,California,32.54306,-117.02666999999998,2016,1,0,1,,,1,,7382363,241875,0,24014192,24256067,31638430,13701967,36215,0,0,0,0,0,0
2504|2017,2504,San Ysidro,California,32.54306,-117.02666999999998,2017,2,0,2,7,1,1,,8279253,61822,,23831138,23892960,32172213,13777990,33367,,,,,,
